Date,Daily_Return_Pct
25-05-1993,1683.34
28-03-2000,1419.51
16-02-1993,1369.66
29-03-1993,1336.74
23-02-1993,1329.83
18-01-2000,1322.22
07-09-1993,1287.99
28-11-1994,1237.58
05-04-1999,1216.21
15-02-2000,1195.29
