Date,Close,Prev_Close,Daily_Return_Pct
01-02-1991,0.202257007360458,,
01-02-1993,1.26041698455811,0.202257007360458,523.18
01-02-1994,1.98611104488373,1.26041698455811,57.58
01-02-1995,1.90277802944183,1.98611104488373,-4.2
01-02-1996,4.76388883590698,1.90277802944183,150.36
01-02-1999,28.75,4.76388883590698,503.5
01-02-2000,58.90625,28.75,104.89
01-02-2001,38.25,58.90625,-35.07
01-02-2002,19.2099990844727,38.25,-49.78
01-02-2005,18.1299991607666,19.2099990844727,-5.62
01-02-2006,18.5799999237061,18.1299991607666,2.48
01-02-2007,26.5900001525879,18.5799999237061,43.11
01-02-2008,24.9400005340576,26.5900001525879,-6.21
01-02-2010,22.7299995422363,24.9400005340576,-8.86
01-02-2011,21.4699993133545,22.7299995422363,-5.54
01-02-2012,19.7999992370605,21.4699993133545,-7.78
01-02-2013,20.8299999237061,19.7999992370605,5.2
01-02-2016,23.4799995422363,20.8299999237061,12.72
01-02-2017,30.5,23.4799995422363,29.9
01-02-2018,41.7000007629395,30.5,36.72
01-02-2019,47.3400001525879,41.7000007629395,13.53
01-02-2021,45.4000015258789,47.3400001525879,-4.1
01-02-2022,55.3699989318848,45.4000015258789,21.96
01-03-1990,0.0798610001802444,55.3699989318848,-99.86
01-03-1991,0.197916999459267,0.0798610001802444,147.83
01-03-1993,1.19097197055817,0.197916999459267,501.75
01-03-1994,2.05902791023254,1.19097197055817,72.89
01-03-1995,1.82986104488373,2.05902791023254,-11.13
01-03-1996,5.05555582046509,1.82986104488373,176.28
01-03-1999,24.859375,5.05555582046509,391.72
01-03-2000,65.84375,24.859375,164.86
01-03-2001,24.5,65.84375,-62.79
01-03-2002,15.0,24.5,-38.78
01-03-2004,23.5300006866455,15.0,56.87
01-03-2005,17.5,23.5300006866455,-25.63
01-03-2006,21.0599994659424,17.5,20.34
01-03-2007,25.8500003814697,21.0599994659424,22.74
01-03-2010,24.6000003814697,25.8500003814697,-4.84
01-03-2011,18.5599994659424,24.6000003814697,-24.55
01-03-2012,19.8799991607666,18.5599994659424,7.11
01-03-2013,20.8299999237061,19.8799991607666,4.78
01-03-2016,26.8299999237061,20.8299999237061,28.8
01-03-2017,34.439998626709,26.8299999237061,28.36
01-03-2018,43.7999992370605,34.439998626709,27.18
01-03-2019,51.4099998474121,43.7999992370605,17.37
01-03-2021,45.9199981689453,51.4099998474121,-10.68
01-03-2022,54.6199989318848,45.9199981689453,18.95
01-04-1991,0.154513999819756,54.6199989318848,-99.72
01-04-1992,0.5625,0.154513999819756,264.04
01-04-1993,1.22916698455811,0.5625,118.52
01-04-1996,5.25,1.22916698455811,327.12
01-04-1997,5.375,5.25,2.38
01-04-1998,11.5520830154419,5.375,114.92
01-04-1999,27.484375,11.5520830154419,137.92
01-04-2002,17.5200004577637,27.484375,-36.25
01-04-2003,12.9799995422363,17.5200004577637,-25.91
01-04-2004,23.7399997711182,12.9799995422363,82.9
01-04-2005,17.7000007629395,23.7399997711182,-25.44
01-04-2008,24.9799995422363,17.7000007629395,41.13
01-04-2009,17.4599990844727,24.9799995422363,-30.1
01-04-2010,25.8299999237061,17.4599990844727,47.94
01-04-2011,17.0400009155273,25.8299999237061,-34.03
01-04-2013,20.8299999237061,17.0400009155273,22.24
01-04-2014,23.1000003814697,20.8299999237061,10.9
01-04-2015,27.25,23.1000003814697,17.97
01-04-2016,28.6900005340576,27.25,5.28
01-04-2019,54.9799995422363,28.6900005340576,91.63
01-04-2020,38.3300018310547,54.9799995422363,-30.28
01-04-2021,51.9799995422363,38.3300018310547,35.61
01-04-2022,55.6599998474121,51.9799995422363,7.08
01-05-1990,0.0837669968605042,55.6599998474121,-99.85
01-05-1991,0.208333000540733,0.0837669968605042,148.71
